time, Quad.GPS.X
0.105000,-0.372310
0.205000,0.640090
0.305000,-0.736645
0.404998,0.869244
0.504997,0.179998
0.604996,-0.945479
0.704994,0.887790
0.804993,-0.259709
0.904992,-0.450545
1.004991,-1.571867
1.104996,-0.470639
1.205000,-0.521650
1.305005,0.253476
1.405010,0.472003
1.505014,-0.728440
1.605019,-0.304295
1.705024,0.691248
1.805028,0.976974
1.905033,-0.720203
2.005037,0.025909
2.105030,-0.246250
2.205023,0.657878
2.305015,0.153999
2.405008,0.268075
2.505001,-1.340684
2.604994,-0.122175
2.704986,-0.281388
2.804979,-0.170359
2.904972,-0.306151
3.004965,0.505969
3.104957,-1.532707
3.204950,0.509892
3.304943,-0.526512
3.404936,0.039956
3.504928,0.415601
3.604921,-0.276966
3.704914,0.223334
3.804907,-0.660101
3.904899,-0.184375
4.004892,-1.156574
4.104885,1.426602
