time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073918
0.015000,0.523449
0.020000,-0.426198
0.025000,0.917115
0.030000,-0.295081
0.035000,0.184494
0.040000,-0.567079
0.045000,0.312864
0.050000,-1.082194
0.055000,0.005040
0.060000,0.415922
0.065000,-0.793006
0.070000,0.984608
0.075000,0.611972
0.080000,0.194782
0.085000,0.519141
0.090000,0.795027
0.095000,-0.002565
0.100000,0.874808
0.105000,1.097928
0.110000,0.361443
0.115000,0.099521
0.120000,-0.100238
0.125000,-0.059580
0.130000,-0.970201
0.135000,-0.037234
0.140000,0.090255
0.145000,0.424226
0.150000,0.251867
0.155000,-0.625450
0.160000,0.413945
0.165000,-0.115692
0.170000,0.265649
0.175000,0.823337
0.180000,-0.003179
0.185000,-0.718478
0.190000,-0.751538
0.195000,-0.095331
0.200000,0.624317
0.205000,-0.732073
0.210000,-0.565656
0.215000,0.091589
0.220000,-0.807236
0.225000,-0.246697
0.230000,0.021051
0.235000,-0.355150
0.240000,-0.303937
0.245000,-0.584129
0.250000,-0.124613
0.255000,-0.723968
0.260000,0.163972
0.265000,-0.289707
0.270000,-0.423111
0.275000,-0.511755
0.280000,0.090608
0.285000,0.261579
0.290000,-0.505786
0.295000,-0.263700
0.300000,-0.006798
0.305000,-0.283595
0.310000,0.631462
0.314999,0.014573
0.319999,0.567507
0.324999,0.557994
0.329999,0.633114
0.334999,-0.072993
0.339999,-0.232020
0.344999,-0.008144
0.349999,-0.590941
0.354999,-0.175783
0.359999,0.143694
0.364999,0.512009
0.369999,1.160117
0.374999,0.253493
0.379999,-0.193400
0.384999,-0.650904
0.389999,0.259378
0.394998,0.143487
0.399998,-0.053774
0.404998,-0.861835
0.409998,0.201683
0.414998,-0.260868
0.419998,0.404666
0.424998,0.066724
0.429998,-0.572492
0.434998,-0.348734
0.439998,-0.236023
0.444998,0.037043
0.449998,-1.000590
0.454998,-1.222739
0.459998,0.035028
0.464998,0.359219
0.469997,-0.561910
0.474997,-0.502550
0.479997,0.892111
0.484997,0.198044
0.489997,-0.614319
0.494997,-0.113423
0.499997,-0.262797
0.504997,0.342576
0.509997,-0.359950
0.514997,0.258804
0.519997,-0.056076
0.524997,0.067095
0.529997,-0.572925
0.534997,0.162509
0.539997,0.458826
0.544997,0.269397
0.549996,-0.541569
0.554996,0.129626
0.559996,-0.424084
0.564996,0.454748
0.569996,-0.820078
